id,titulo,empresa,pais,ciudad,salario,descripcion,url,source,fecha_extraccion,match_score,proximidad_score,score_final,categoria_recomendacion
,Senior Python Dev,,,,No especificado,No disponible,https://example1.com,LinkedIn,2026-02-07 20:57:35,100.0,30,79.0,Recomendados
,Backend Engineer,,,,No especificado,No disponible,https://example2.com,Chiletrabajos,2026-02-07 20:57:36,0.0,30,9.0,Otros
,Full Stack Developer,,,,No especificado,No disponible,https://example3.com,Trabajando.cl,2026-02-07 20:57:37,0.0,30,9.0,Otros
1.0,Oferta 1,,,,No especificado,"¡Se busca desarrollador Full Stack con experiencia en múltiples tecnologías!En Blue Express estamos buscando un talentoso desarrollador Full Stack para unirse a nuestro equipo y contribuir al desarrollo de proyectos emocionantes y desafiantes. Si tienes pasión por la tecnología y la innovación, esta es una oportunidad para trabajar en un entorno dinámico y colaborativo.¿Qué tendrás que hacer?Automatizar procesos de desarrollo de software.Participar de la definición de requerimientos de clientes.",https://cl.linkedin.com/jobs/view/full-stack-at-blue-express-4356607869,LinkedIn,2026-02-07 21:02:16,0.0,30,9.0,Otros
2.0,Oferta 2,,,,No especificado,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objet",https://cl.linkedin.com/jobs/view/desarrollador-backend-junior-python-investigaci%C3%B3n-%2B-desarrollo-trabajo-remoto-ref%23272736-at-bairesdev-4140301220,LinkedIn,2026-02-07 21:02:17,0.0,30,9.0,Otros
3.0,Oferta 3,,,,No especificado,"Build your future with Sovos.If you're seeking a career where innovation meets impact, you've come to the right place. As a global leader, Sovos is transforming tax compliance from a business requirement to a force for growth while revolutionizing how businesses navigate the ever-changing regulatory landscape. At Sovos, we're dedicated to more than just solving compliance challenges – we're committed to making a positive and lasting difference in everything we do. Our teams operate on the modern",https://cl.linkedin.com/jobs/view/php-python-developer-at-sovos-4358089651,LinkedIn,2026-02-07 21:02:18,0.0,30,9.0,Otros
4.0,Oferta 4,,,,No especificado,"EnAgencia de Aduanas Felipe Serrano (FSS), empresa líder en comercio exterior, logística y tecnología con más de 40 años de trayectoria, estamos impulsando una modernización profunda de nuestras plataformas internas para ofrecer soluciones más eficientes, automatizadas y basadas en datos a clientes de múltiples industrias.Buscamos unDesarrollador Back End orientado a Python, con experiencia en construcción de servicios, procesos ETL/ELT, automatización de flujos y manejo de infraestructura en AW",https://cl.linkedin.com/jobs/view/desarrollador-back-end-python-at-agencia-de-aduanas-felipe-serrano-4343946259,LinkedIn,2026-02-07 21:02:18,100.0,30,79.0,Recomendados
5.0,Oferta 5,,,,No especificado,"At INDI, we're passionate about empowering individuals and businesses worldwide. Our cutting-edge recruiters connect leading companies with top talent, fostering a dynamic environment where innovation thrives. Join us in shaping the future of work.Overview of the role:Step into the world of advanced software engineering as our Senior Python Developer, where you'll architect sophisticated solutions for global clients. This isn't just about coding, it's about leading technical initiatives, mentori",https://cl.linkedin.com/jobs/view/senior-python-developer-remote-at-indi-staffing-services-4368674082,LinkedIn,2026-02-07 21:02:19,100.0,30,79.0,Recomendados
6.0,Oferta 6,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/desarrollador-back-end-at-bice-vida-4367523573,LinkedIn,2026-02-07 21:02:19,0.0,30,9.0,Otros
7.0,Oferta 7,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/python-developer-senior-level-at-globant-4329442162,LinkedIn,2026-02-07 21:02:19,0.0,30,9.0,Otros
8.0,Oferta 8,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/desarrollador-python-junior-trabajo-remoto-ref%23280789-at-bairesdev-4140199391,LinkedIn,2026-02-07 21:02:19,0.0,30,9.0,Otros
9.0,Oferta 9,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/desarrollador-backend-python-at-avos-tech-chile-4196399571,LinkedIn,2026-02-07 21:02:19,0.0,30,9.0,Otros
10.0,Oferta 10,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/desarrollador-full-stack-junior-at-wall-partners-4351192752,LinkedIn,2026-02-07 21:02:20,0.0,30,9.0,Otros
11.0,Oferta 11,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/desarrollador-backend-python-odoo-senior-at-avos-tech-chile-4196605315,LinkedIn,2026-02-07 21:02:20,0.0,30,9.0,Otros
12.0,Oferta 12,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/developer-full-stack-at-agilistik-4367275836,LinkedIn,2026-02-07 21:02:21,0.0,30,9.0,Otros
13.0,Oferta 13,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/python-engineer-at-abaqus-4345926810,LinkedIn,2026-02-07 21:02:21,0.0,30,9.0,Otros
14.0,Oferta 14,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/fullstack-python-at-tata-consultancy-services-4369244448,LinkedIn,2026-02-07 21:02:21,0.0,30,9.0,Otros
15.0,Oferta 15,,,,No especificado,No disponible,https://cl.linkedin.com/jobs/view/junior-python-developer-at-btg-pactual-chile-4340387486,LinkedIn,2026-02-07 21:02:22,0.0,30,9.0,Otros
,Recepcionista de Centro de Belleza. Mall.…,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/recepcionista-de-centro-de-belleza-mall-la-reina-3774459,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,Cajero/a,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/cajero-a-3780360,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,Asesor de Isapre,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/asesor-de-isapre-3780341,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,¡Estamos buscando Asistente Administrativa!,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/estamos-buscando-asistente-administrativa-3780336,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,Vendedora Full time DEMARIE,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/vendedora-full-time-demarie-3726436,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,COPEROS,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/coperos-3742560,Chiletrabajos,2026-02-07 21:02:23,0.0,30,9.0,Otros
,GG.SS Seguridad Privada Ley 21659,,,,No especificado,No disponible,https://www.chiletrabajos.cl/trabajo/ggss-seguridad-privada-ley-21659-3780313,Chiletrabajos,2026-02-07 21:02:24,0.0,30,9.0,Otros
